BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,timeMs
8.31,30200.0,8.3,90600.0,8.29,9700.0,8.28,48400.0,8.27,47000.0,8.33,36700.0,8.34,13200.0,8.35,15600.0,8.36,30100.0,8.37,14900.0,1179000
8.31,30000.0,8.3,90600.0,8.29,9700.0,8.28,48700.0,8.27,47000.0,8.32,500.0,8.33,36700.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,1182000
8.31,30000.0,8.3,90600.0,8.29,9700.0,8.28,48700.0,8.27,47000.0,8.32,500.0,8.33,36700.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,1185000
8.31,30100.0,8.3,90600.0,8.29,9700.0,8.28,48400.0,8.27,47000.0,8.32,500.0,8.33,36700.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,1188000
8.32,2500.0,8.31,31500.0,8.3,96600.0,8.29,9700.0,8.28,48400.0,8.33,36700.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,8.37,14900.0,1191000
8.32,2000.0,8.31,33100.0,8.3,97800.0,8.29,9700.0,8.28,48400.0,8.33,36700.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,8.37,12400.0,1194000
8.32,2300.0,8.31,35100.0,8.3,97800.0,8.29,9700.0,8.28,48900.0,8.33,23300.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,8.37,12400.0,1197000
8.31,35100.0,8.3,97800.0,8.29,13700.0,8.28,48900.0,8.27,47000.0,8.32,4300.0,8.33,23300.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,1200000
8.31,30200.0,8.3,97800.0,8.29,13700.0,8.28,48900.0,8.27,47000.0,8.32,9700.0,8.33,23300.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,1203000
8.31,30200.0,8.3,92800.0,8.29,13700.0,8.28,48900.0,8.27,47000.0,8.32,9600.0,8.33,23300.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,1206000
8.31,29800.0,8.3,92800.0,8.29,13700.0,8.28,48900.0,8.27,47000.0,8.32,15100.0,8.33,23300.0,8.34,13200.0,8.35,17600.0,8.36,30100.0,1209000
8.3,91800.0,8.29,13700.0,8.28,48900.0,8.27,47000.0,8.26,30300.0,8.31,18300.0,8.32,41300.0,8.33,23300.0,8.34,13200.0,8.35,18100.0,1212000
8.3,91300.0,8.29,13700.0,8.28,47900.0,8.27,47500.0,8.26,30300.0,8.31,19500.0,8.32,41300.0,8.33,23300.0,8.34,13200.0,8.35,18100.0,1215000
8.3,91300.0,8.29,13700.0,8.28,48500.0,8.27,47500.0,8.26,30300.0,8.31,9400.0,8.32,36200.0,8.33,23300.0,8.34,13200.0,8.35,18100.0,1218000
8.3,91300.0,8.29,13700.0,8.28,45900.0,8.27,47500.0,8.26,30300.0,8.31,4600.0,8.32,36200.0,8.33,23300.0,8.34,13200.0,8.35,18100.0,1221000
8.3,84200.0,8.29,13700.0,8.28,45900.0,8.27,47500.0,8.26,30300.0,8.31,5600.0,8.32,30700.0,8.33,23300.0,8.34,13200.0,8.35,20100.0,1224000
8.3,82200.0,8.29,13700.0,8.28,45900.0,8.27,47500.0,8.26,30300.0,8.31,5500.0,8.32,30700.0,8.33,23300.0,8.34,9900.0,8.35,20100.0,1227000
8.31,13000.0,8.3,82300.0,8.29,43700.0,8.28,45900.0,8.27,47500.0,8.32,32200.0,8.33,23300.0,8.34,9900.0,8.35,20100.0,8.36,34000.0,1230000
8.31,8900.0,8.3,83300.0,8.29,43700.0,8.28,45900.0,8.27,47700.0,8.32,35600.0,8.33,23300.0,8.34,9900.0,8.35,20100.0,8.36,34000.0,1233000
8.31,8600.0,8.3,83800.0,8.29,43700.0,8.28,45900.0,8.27,47700.0,8.32,35600.0,8.33,23300.0,8.34,9900.0,8.35,24900.0,8.36,34000.0,1236000
8.31,1300.0,8.3,83800.0,8.29,43700.0,8.28,45900.0,8.27,47700.0,8.32,35600.0,8.33,23300.0,8.34,9900.0,8.35,24900.0,8.36,44000.0,1239000
8.3,83800.0,8.29,43700.0,8.28,45900.0,8.27,47700.0,8.26,32500.0,8.31,1300.0,8.32,34700.0,8.33,23300.0,8.34,9900.0,8.35,24900.0,1242000
